title course,price,image,durasi,jumlah murid,materi course
Ux Design For Website,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-91-200612123529.jpeg,4:26:12,"
 0 murid",  9 video
Mendesign Web Interaktif Dan M...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-92-200612170021.jpeg,06:12:00,"
 0 murid",  23 video
Ethical Hacking Atau Penetreat...,Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-93-190404142704.webp,06:30:20,"
 0 murid",  14 video
Make Website E Commerce With R...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-94-200612170006.jpeg,08:00:00,"
 0 murid",  26 video
Membuat Front End E Commerce D...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-95-200622113542.PNG,04:28:13,"
 0 murid",  43 video
Membuat Web E Commerce Dengan...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-96-200612123042.jpeg,10:12:51,"
 0 murid",  40 video
"Node Js Complete (Html, Css, J...",Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-97-200725123316.jpeg,04:43:00,"
 0 murid",  139 video
New Seo,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-99-200611181259.png,04:50:00,"
 0 murid",  31 video
Membuat Web E Commerce Dengan...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-100-200612122845.jpeg,10:32:14,"
 0 murid",  49 video
Search Engine Marketing (Sem),Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-101-190620150241.webp,,"
 0 murid",  9 video
Bekerja Ala Developer Dengan G...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-102-200612124745.jpeg,04:43:32,"
 0 murid",  14 video
Membuat Chat Real Time Menggun...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-103-200612121505.jpeg,11:36:18,"
 0 murid",  80 video
Digital Marketing In Action,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-106-200612121012.jpeg,04:18:28,"
 0 murid",  11 video
Membuat Web E Commerce Dengan...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-107-200612164418.jpeg,04:57:29,"
 0 murid",  28 video
New React Js,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-111-200622113559.PNG,,"
 0 murid",  64 video
Data Science & Machine Learnin...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-112-200612122817.jpeg,08:12:31,"
 0 murid",  26 video
Instagram Ads,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-113-200611181803.png,04:40:45,"
 0 murid",  5 video
New Google Ads,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-114-200612115116.jpeg,04:40:45,"
 0 murid",  7 video
New Node Js,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-115-200612123052.jpeg,10:32:14,"
 0 murid",  32 video
New React Native,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-116-200612121550.jpeg,08:12:31,"
 0 murid",  13 video
